馬六甲	麻六甲
卡拉奇	喀拉蚩
永珍	永珍
雪梨	雪梨
伊斯蘭堡	伊斯蘭馬巴德
芭堤雅	芭達雅
珀斯	伯斯
約翰內斯堡	約翰尼斯堡
聖地亞哥	聖地牙哥
坎城	坎城
薩爾茨堡	薩爾斯堡
安克雷奇	安克拉治
蒙特利爾	蒙特婁
卡爾加里	卡加利
杜塞爾多夫	杜塞道夫
阿布扎比	阿布達比
畢爾巴鄂	畢爾包
拉各斯	拉哥斯
模里西斯	模里西斯
哥德堡	哥特堡
格拉茨	格拉茲
科倫坡	可倫坡
林茨	林茲
波爾圖	波多
雷克雅維克	雷克雅維克
伯爾尼	伯恩
布裡斯托爾	布里斯托
法魯	法羅
聖地亞哥	聖地牙哥
莫爾茲比港	摩斯比港
裡諾	雷諾
新奧爾良	紐奧爾良
阿伯丁	亞伯丁
馬累	馬列
伊茲密爾	伊茲米爾
金奈	馬德拉斯	清奈)
明尼阿波利斯	明尼亞波利斯
宿霧	宿霧
博洛尼亞	波隆納
阿德萊德	阿得雷德
埃德蒙頓	愛德蒙頓
聖何塞	聖荷西
盧布林雅那	盧比安納
帕爾馬馬洛卡	帕爾馬
伯明翰	伯明罕
紐卡斯爾	新堡
蒙彼利埃	蒙貝利耶
達尼丁	但尼丁
拉瓦格	佬沃
塞維亞	塞維亞
斯特拉斯堡	史特拉斯堡
圖盧茲	土魯斯
巴釐巴板	巴里巴班
古晉	古晉	砂勞越)
泗務	詩巫
下龍市	下龍灣
哥打京那巴魯	亞庇	沙巴)
阿倫敦	艾倫鎮
基洛納	基隆拿
多哈	杜哈
德累斯頓	德雷斯頓
腓特烈斯港	腓特烈港
俄克拉何馬城	奧克拉荷馬城
霍巴特	荷巴特
弗羅茨瓦夫	樂斯拉夫
波恩	波昂
因斯布魯克	茵斯布魯克
加帝夫	卡地夫
萬倫	素叻他尼
三寶壟	三寶龍
阿維尼翁	亞維儂
比亞里茨	比亞里茲
米盧斯	米路斯
安納西	安錫
因佛內斯	印威內斯
愛因霍溫	恩荷芬
利茲	里茲
特隆赫姆	特倫汗
代尼茲利	德尼茲利
伊伐洛	伊瓦洛
奧盧	奧魯
羅瓦涅米	羅凡尼米
圖爾庫	土庫
羅托魯瓦	羅吐魯阿
聖何塞	聖荷西
薩克拉門托	沙加緬度
戈爾韋	高威
馬默斯萊克斯	曼摩絲湖
聖莫里茨	聖莫里茲
策馬特	策馬特
蒙特勒	蒙投
因特拉肯	茵特拉根
蒙廷盧帕	文珍俞巴市
納什維爾	那許維爾
埃裡溫	葉里溫
裡沃夫	利維夫
第聶伯羅彼得羅夫斯克	聶伯城
基希訥烏	奇西瑙
齋普爾	齋浦爾
博卡拉	波卡拉
尚佩恩	香檳城
桑德貝	雷霆灣
米里	美里
尼加拉瀑布	尼加拉瀑布
賈斯珀	傑士伯
坎盧普斯	甘露市
卡羅維發利	卡羅維瓦利
弗萊貝格	易北河
阿爾勒	亞耳
蘭斯	漢斯
埃文河畔斯特拉特福	史特拉福
薩羅尼加	塞薩洛尼基
巴勒莫	巴勒摩
卡普里	卡布里
索倫托	蘇連多
琅勃拉邦	龍坡邦
蒂阿瑙	第阿納
卡斯凱斯	卡斯卡伊斯
科英布拉	孔布拉
克魯拿波卡	克盧日納波卡
林雪平	林雪坪
阿納海姆	安納漢
斯科特斯德	斯科茨代爾
塞多納	聖多那
朗塞斯頓	倫瑟斯頓
里賈納	雷吉納
紐卡斯爾	紐卡索
馬爾地夫	馬爾地夫
布拉迪斯拉發	布拉提斯拉瓦
博茲曼	波茲曼
奧爾伯裡	阿爾伯里
科爾瑪	科瑪
考拉	拷叻
克魯姆洛夫	契斯基庫倫洛夫
卡拉馬祖	卡拉瑪祖
費爾班克斯	費爾班
班賈爾馬辛	馬辰
錫達城	喜達爾市
聖路易斯	奧比斯波縣	聖路易歐碧斯波
大叻	大勒
米爾迪拉	米爾杜拉
巴色	百細
聖瑪麗亞	聖塔瑪莉亞
塔比拉蘭	薄荷島
烏代布林	烏代浦
瓦卡塔尼	華卡塔尼
旺阿雷	璜加雷
弗雷斯諾	佛雷斯諾
卡爾斯魯厄	卡爾斯魯爾
霍基蒂卡	赫基蒂卡
漢密爾頓	漢彌頓
紐黑文	紐哈芬市
芒特艾薩	伊薩山
伊薩卡	倚色佳
希洛	大島希洛
芒伽羅	門格洛爾
科斯	科斯島
默塞德	美熹德
美因茨	緬因茲
普林塞薩港	巴拉望	公主港)
雲林縣	雲林
南投	南投
弗拉格斯塔夫	旗竿鎮
桃園市	桃園
斯科普里	史高比耶
馬斯特裡赫特	馬斯垂克
班貝格	班堡
芒通	蒙頓
素裡	薩里
維爾茨堡	烏茲堡
丹布勒	丹布拉
達納點	丹納岬
杜倫	達拉謨
哈爾施塔特	哈修塔特
卡納布	卡納
莫德納	摩德納
龍達	隆達
聖莫尼卡	聖塔莫尼卡
阿馬爾菲	阿瑪菲
貝爾格萊德	貝爾格勒
蓋特威克	蓋威克
豪士羅區	豪恩斯洛
聖克拉拉	聖塔克拉拉
沙莫尼蒙勃朗	夏慕尼白朗峰
森尼韋爾	桑尼維爾
長灘	長堤
傑克遜	傑克森
紐瓦克	紐華克
得梅因	第摩伊
卡爾斯巴德	卡爾士貝
紐頓	牛頓
尼加拉瀑布	尼加拉瀑布
里士滿	利奇蒙
布法羅	水牛城
休斯敦	休士頓
薩凡納	莎瓦納
羅切斯特	羅徹斯特
亞凱迪亞	阿卡迪亞
聖羅莎	聖塔羅沙
蒙特雷帕克	蒙特利公園
弗賴堡	佛萊堡
馬爾堡	馬堡
陶伯河上游羅滕堡	羅騰堡	陶伯河)
拿騷	拿索
羅滕堡	羅騰堡	維默河)
坎特伯雷	坎特伯里
安赫萊斯	安吉利斯
塔吉格	達義
蒲種	普崇
坦加勒	坦加拉
裡貝朗普雷圖	里貝朗普雷托
基蒂萊	基提拉
盧塞恩	琉森
庫薩達斯	庫薩達西
巴塞隆納	巴塞隆納
米科諾斯	米克諾斯
華富里	洛布里
普裡什蒂納	普里斯提納
蘭乍邦	林查班
穆蘭巴赫	莫蘭巴
羅滕堡	羅騰堡	拉貝爾河畔)
巴彥勒巴	巴六拜
烏戎潘當	望加錫
圖爾庫	土庫
